URN,Platform,Forecourt Brand,Site Name,Address,Suburb,State,Postcode,Lat,Long,Status,Metro/Regional,Highway Site,Truck Forecourt,Semi-Trailer Accessible,B Double Accessible,Road Train Accessible,Diesel,High Flow Diesel,Ultra High Flow Diesel,Adblue at Pump,Adblue by Pack,Truck Parking,Showers,Truckers Lounge,Shell Card Accepted,Trading Hours (24 x 7 Site)
A130,Alliance,Shell,SHELL COLES EXPRESS FYSHWICK WILUNA,8-12 IPSWICH ST (CNR WILUNA ST),FYSHWICK,ACT,2609,-35.32854974,149.1637183,Open,Metro,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No
X089,Liberty Oil Australia,Liberty,LIBERTY ALBERT UNMANNED,9 MELROSE ROAD,ALBERT,NSW,2873,-32.35792821,147.5071903,Open,Regional,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes
A011,Alliance,Shell,SHELL COLES EXPRESS ALBION PARK,252 PRINCES HIGHWAY,ALBION PARK,NSW,2527,-34.567967,150.8024,Open,Regional,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes
A200,Alliance,Shell,SHELL COLES EXPRESS BATHURST,59 DURHAM STREET,BATHURST,NSW,2795,-33.416408,149.584312,Open,Regional,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes
A204,Alliance,Shell,SHELL COLES EXPRESS BATHURST WEST,298 STEWART ST (CNR ROCKET ST),BATHURST,NSW,2795,-33.419192,149.567313,Open,Regional,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes
A667,Alliance,Shell,SHELL COLES EXPRESS BERESFIELD,93 WEAKLEYS DRIVE,BERESFIELD,NSW,2322,-32.80111375,151.6352251,Open,Regional,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
J481,Alliance,Shell,SHELL COLES EXPRESS BOGGABILLA,33351 NEWELL HIGHWAY,BOGGABILLA,NSW,2409,-28.60870572,150.3512259,Open,Regional,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
A656,Alliance,Shell,SHELL COLES EXPRESS BOMADERRY,271 PRINCES HIGHWAY,BOMADERRY,NSW,2541,-34.84003,150.59396,Open,Regional,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
A670,Liberty Oil Australia,Shell,SHELL WAGGA WAGGA UNMANNED,82 BOMEN ROAD,BOMEN,NSW,2650,-35.07198487,147.4034061,Open,Regional,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes
X155,Liberty Oil Australia,Liberty,LIBERTY OUTBACK FUEL CENTRE,96-104 ANSON ST,BOURKE,NSW,2840,-30.095518,145.943953,Open,Regional,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
